              File1                       File2          Case  File1_Value  File2_Value  AbsError   SMAPE(%)
-------------------  --------------------------  ------------  -----------  -----------  --------  ---------
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1004         8677         8667        10   0.115314
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1005         9815         9802        13   0.132538
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1010         7841         7826        15   0.191485
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1012         7901         7889        12   0.151995
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1015         8094         8090         4   0.049432
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1016        10736        10692        44   0.410678
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1017         8584         8561        23   0.268300
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1019        11575        11501        74   0.641359
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1020         9720         9714         6   0.061747
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1029         7777         7773         4   0.051447
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1031         8381         8364        17   0.203046
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1033         8270         8211        59   0.715976
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1035        10509        10502         7   0.066632
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt   chr1_S1_103         8751         8743         8   0.091460
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1042         7735         7728         7   0.090539
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1043         7844         7842         2   0.025500
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1044        10744        10704        40   0.372995
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1048        12370        12359        11   0.088964
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1054         8821         8797        24   0.272449
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1059         8112         8110         2   0.024658
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt   chr1_S1_105         9317         9298        19   0.204136
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1063        10895        10891         4   0.036721
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1065         8688         8683         5   0.057567
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1066         7802         7796         6   0.076933
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1067        10876        10846        30   0.276218
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1068         7830         7830         0   0.000000
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1070         7832         7822        10   0.127763
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1071        12503        12481        22   0.176113
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1076        10781        10768        13   0.120655
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1077        16046        16029        17   0.106002
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1079         9143         9130        13   0.142286
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt   chr1_S1_107         7709         7705         4   0.051901
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1081        16598        16580        18   0.108506
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1085         8260         8227        33   0.400315
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1086         7812         7810         2   0.025605
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1089         8232         8226         6   0.072913
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1094         9988         9973        15   0.150293
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1097         8244         8221        23   0.279381
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt    chr1_S1_10        10859        10851         8   0.073699
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1102         7672         7665         7   0.091283
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1114        14641        14621        20   0.136696
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1115        10116        10101        15   0.148390
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1116        18763        18698        65   0.347028
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt   chr1_S1_111         8337         8336         1   0.011995
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1120         9919         9913         6   0.060508
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1124        10094        10081        13   0.128872
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1125         7894         7861        33   0.418915
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1126        10113        10085        28   0.277255
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1129        10060        10043        17   0.169129
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1132         7879         7865        14   0.177846
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1133         9097         9070        27   0.297242
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1134         9295         9279        16   0.172284
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1140         7882         7861        21   0.266785
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1141         8187         8182         5   0.061091
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1146        11501        11478        23   0.200183
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1147         8211         8196        15   0.182849
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1148         9029         9020         9   0.099729
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1150         9898         9864        34   0.344095
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1152         8166         8162         4   0.048996
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1156         8594         8590         4   0.046555
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1157         7784         7782         2   0.025697
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1160         9783         9747        36   0.368664
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1161         7808         7765        43   0.552238
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1162         8168         8151        17   0.208346
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1165         8712         8703         9   0.103359
GWFA_err15%_80k.txt  GWFA_err15%_80k_github.txt  chr1_S1_1167        12092        12061        31   0.256697
